id,fulltext
1534812928964190208,"@xiusdays Did you know that even if US emissions were reduced to absolutely zero it would have literally NO impact on global warming?  FACT.  Therefore, stop the insanity and bad policy!"
1600056675163000834,@XRebellionUK What “escalating climate emergency”? It’s bloody freezing here. What happened to that global warming you lot promised?
1532122711425634309,@aussie000050 I remember over 30 years ago the Greens were laughed at.  Now they’re lauded by the brainwashed young - it starts in school where the kids are taught climate change issues over history lessons.
1534223850975596544,@cculpepper4 @Republican81873 There's no such thing as Global Warming or Greenhouse Gases. The warming is not truly global and it's inappropriate to use the term greenhouse as applied to any gas. Greenhouses are man-made - the earth wasn't made by man.
1553043552455761920,"NASA Study: Mass Gains of Antarctic Ice Sheet Greater than Losses https://t.co/IiBlS1rbfI This is exactly why ""global warming"" is now ""climate change"""
1532576940888141824,@krismeloche Climate change will be easily defeated by the Premier as he lays asphalt over as much green area as possible. #ThugFord #climateemergency
1568273016496312323,@AlMarzian @Democracy_Uno @joncoopertweets I asked you if the farmland was interchangeable between farming livestock and farming crops.  The answer is no it’s not even close to interchangeable. Haha get outa here with your climate change nonsense.
1551128324994465792,When does Climate change start again ? The weather today is awful!!!!!! #skynews https://t.co/pJ7MhZZnTB
1549574453080002560,@Jules31415 Global warming. We have global warming in the summer (north of the equator) and global cooling in the winter. And it magically does this every year. We were told 40 years ago we’d be in an ice age by now.About 20 years ago we’re were told we would be burned up by now.Amazing huh?
1534201251054985216,"@AqufinaHyena @dirtnoroads @KenColvin01 @erichzunker @a1_stuart @DanielTurnerPTF Oh yeah... global warming, climate change and more of that ""same ol' song and dance 🎶🎵🎶🎵.... "" https://t.co/sBumscgwNs"
1563917712753324033,"This is among the most trivially nonsense claims I’ve heard. For any N, population has been N or less at some point in time and we have easily survived. At no point in civilization have we experienced the state of global warming we’re heading to. https://t.co/qhHxzLzTrA"
1548636689597448198,"""The polar caps are melting ! Global warming !"" Bruh we're coming out of an ice age tf you think is gonna happen ?"
1531965826899001344,Well this is pretty stark. https://t.co/4gm0nEIAN7
1535333712354746370,"I know this is secondary, but it is iceberg, not ice berg. Just like it’s greenhouse, not green house. But I guess people at the global warming conference (🤷‍♂️) would know that. https://t.co/wvkGgaFUpm"
1591563219466059776,"@s_guilbeault Liberals know very well..the sun solar flares are at the end of a hot cycle. Next 8 years will be considerably colder. Harsher winters. Will they still call it ""climate crisis"" ?How old are you Steve. Go ahead ...pick the climate crisis for your birth year. https://t.co/gWYGH5NBr6"
1531862666691907584,https://t.co/m6SGH3ylxK
1572202615940972545,@SenWhitehouse But what % of those EV charging stations will run on renewable generated power? 5% maybe. This isn’t real progress on climate change. It’s a rouse until the majority of those EV’s run on something other than fossil fuel gen’d power.
1549593838406320128,@atrupar People point fingers when they have no answers. Or they know the answer but it goes against their decades long rant about that fake climate change thingy
1550043100843737093,"@realDailyWire Why are all you ""WOMEN""???? Wearing jackets? Did GLOBAL WARMING SUDDENLY TURN TO GLOBAL COOLING???"
1543113745433473025,"@DineshDSouza If climate change is anything other than weather changes, it has been made by men. Check out Gates ‘carbon eating’ machines. #nocarbon #nolife"
1597363321250131968,"@SophieScamps Why would you listen to a consistently wrong UN? The facts are there, the reef is flourishing scientists in Australia admit the Great Barrier Reef is doing very well, is very resilient, and the doomsday predictions of the climate change religionists of the past didn't happen."
1532303186458992640,"“For 50 years, governments have failed to act on climate change. No more excuses.” For 50 years more exhortation has failed to win action. Maybe it’s time to adopt a new theory of change? https://t.co/wfxhRe7zPV"
