,id,username,fulltext,140_char_text,hashtags,url,domain,retweet_count,favorite_count,language,lat,lon,user_id,user_location,user_time_zone,user_follower_count,user_favorite_count,user_tweet_count,user_description,media,year,month,day,hour,minute,cards_pred,cards_pred_score,waterloo_cards_pred,waterloo_cards_score,date,cards_binary_pred
176303,1582035227865600000,yue_gaku,@JimothyRimothy @tan123 @VaushV @richfelgate @punishedmother @JustStop_Oil No hes not denying he is one of them special kind that think global warming is good,@JimothyRimothy @tan123 @VaushV @richfelgate @punishedmother @JustStop_Oil No hes not denying he is one of them spe… https://t.co/MxleWKP0QV,[],https://twitter.com/i/web/status/1582035227865600000,twitter.com,0,1,en,,,1446899376358674436,,None,7,986,10,21 | nsfw alt account |,,2022,10,17,15,46,0_0,0.99956006,0,0.9880965,2022-10-17,0
206012,1560290390074327047,april_mccullum,"""Carbon hoofprint"" hehe https://t.co/t7ghOBJ3rP via @hbarndollar","""Carbon hoofprint"" hehe https://t.co/t7ghOBJ3rP via @hbarndollar",[],https://www.providencejournal.com/story/news/2022/08/18/seaweed-reduce-methane-gas-emissions-cow-burps-climate-change/7321457001/,www.providencejournal.com,0,0,nl,,,16341043,amccullum@freepressmedia.com,None,3395,2872,13670,"Editor, writer, expert Cheerio picker-upper. she/her",,2022,8,18,15,39,0_0,0.9998348,0,0.982117,2022-08-18,0
74016,1547400481789874176,KaziZahinHasan1,@MomVsFossilFuel https://t.co/TcHIfLkKQ3,@MomVsFossilFuel https://t.co/TcHIfLkKQ3,[],https://www.dhakatribune.com/op-ed/2022/04/30/explaining-climate-change-to-kids,www.dhakatribune.com,0,1,und,,,1275996871261974529,"Dhaka, Bangladesh",None,82,180,4828,Co-producer of “Tomorrow” animated short film about climate change,,2022,7,14,1,59,0_0,0.99979705,0,0.9998907,2022-07-14,0
59537,1561251954944270337,volkerwintzer,@rahmstorf Dank Klimawandel sogar richtig gut und schnell !,@rahmstorf Dank Klimawandel sogar richtig gut und schnell !,[],,,0,0,de,,,286885305,"Ilmenau, Deutschland",None,9,2700,1372,,,2022,8,21,7,20,0_0,0.99979216,0,0.9999638,2022-08-21,0
45548,1583442342413234178,south_geo,NASA explains if climate change is causing hurricanes to get stronger https://t.co/XL5hcPj0Vq,NASA explains if climate change is causing hurricanes to get stronger https://t.co/XL5hcPj0Vq,[],https://ift.tt/vfc4Gyx,ift.tt,0,0,en,,,135792185,,None,70,618,19631,Tech and Crypto enthusiast.,,2022,10,21,12,57,0_0,0.99963456,0,0.999961,2022-10-21,0
177040,1591546525645406208,Major_Vitaman,@NipsGoldFronts2 meanwhile global warming got november philly like... https://t.co/3CRLbrsgBB,@NipsGoldFronts2 meanwhile global warming got november philly like... https://t.co/3CRLbrsgBB,[],,,0,1,en,,,1429204522828697602,"Philadelphia, PA",None,448,56325,9468,Soul Food provides #TheeMajorityOfVitamins  ...Reparations for American Descendants of Slavery ✊🏾🇺🇸...sports talk ...#StopADOShate#SoulFoodVitamins,https://pbs.twimg.com/media/FhZPH2FWQAE8zfM.jpg,2022,11,12,21,40,0_0,0.99974793,0,0.99992716,2022-11-12,0
54294,1560582872557584384,AidExGlobal,"Conflict, displacement, #climatechange &amp; a pandemic - the list goes on, with new challenges appearing, it's driving humanitarian needs to a record high. We commend humanitarian organisations, present in the most vulnerable communities, risking their lives to save others. #WHD2022 https://t.co/ZXziw7z9ch","Conflict, displacement, #climatechange &amp; a pandemic - the list goes on, with new challenges appearing, it's driving… https://t.co/Y5Z6fEEb4O","[{'text': 'climatechange', 'indices': [24, 38]}]",https://twitter.com/i/web/status/1560582872557584384,twitter.com,1,5,en,,,305567341,Brussels and Nairobi,None,4865,2605,9937,The world's leading annual events for humanitarian aid & global developmentBrussels 16-17 November 2022Nairobi 14-15 June 2022Register: https://t.co/XdjZhZ5XuS,,2022,8,19,11,2,0_0,0.99976194,0,0.9999708,2022-08-19,0
107886,1576656724492111873,EWillaSimpson,"Hurricane Orlene quickly intensifies to Category 4 strength, set to strike Mexico.#ClimateChange#EarthsNewPhasehttps://t.co/CZAE9sN9m2","Hurricane Orlene quickly intensifies to Category 4 strength, set to strike Mexico.#ClimateChange#EarthsNewPhasehttps://t.co/CZAE9sN9m2","[{'text': 'ClimateChange', 'indices': [84, 98]}, {'text': 'EarthsNewPhase', 'indices': [99, 114]}]",https://upi.com/7165777,upi.com,0,0,en,,,2223667092,,None,699,8202,24710,Author of On My Brother's Shoulders an Anthology of the Civil Rights Movement and impact of Emmett Till lynching. *Film -Photography,,2022,10,2,19,33,0_0,0.9995626,0,0.9999622,2022-10-02,0
34758,1579114188961894400,ScienceNotDogma,"What working together to save the #ozonelayer tells us about #climatechange:""The 1989 Montreal Protocol showed how successful co-operation could solve a big [global] #environmental problem, offering lessons for international #ClimateAction today.""https://t.co/Z94uPc72f9","What working together to save the #ozonelayer tells us about #climatechange:""The 1989 Montreal Protocol showed ho… https://t.co/EkUkJx2B7j","[{'text': 'ozonelayer', 'indices': [34, 45]}, {'text': 'climatechange', 'indices': [61, 75]}]",https://twitter.com/i/web/status/1579114188961894400,twitter.com,6,11,en,,,1050392630922629121,Canada,None,11212,65535,32630,"🌎Fighting #disinformation / #misinformation on the #ClimateCrisis, #vaccines and #Science in general.📚 #ClimateAction #BlackLivesMatter #COVID19😷☣️👨🏿He/Him",,2022,10,9,14,18,0_0,0.99973685,0,0.99997115,2022-10-09,0
232409,1560785324090990593,PJREver61,a black box data base to be built. 🤔 we need tinfoil hats.Their globalist scientists will have us believe that climate change explains everything. God's Word explains absolutely nothing.🤦‍♀️https://t.co/34CwGDJ96X https://t.co/bvafpXIgT1,a black box data base to be built. 🤔 we need tinfoil hats.Their globalist scientists will have us believe that cl… https://t.co/kgTM9Oi5wi,[],https://twitter.com/i/web/status/1560785324090990593,twitter.com,0,0,en,,,1669149446,SC,None,64,1825,15883,"Happily married to my high school sweetheart. Have three kids, two boys & one daughter. Have five grandkids, 3 granddaughters & 2 grandson",,2022,8,20,0,26,5_2,0.5126202,1,0.99911696,2022-08-20,1
