 ,url,title,summary,claimant,verdict,party,topic,sub category,date_published,creator,publisher,license_type,copyright,verdict_simplified,date,claim,verdict_complete
4821544.0,https://www.abc.net.au/news/4821544,No evidence to support Foreign Minister Bob Carr's economic migrants claims,"Foreign Minister Bob Carr claims people arriving in Australia recently by boat are not refugees fleeing persecution, but economic migrants.",Bob Carr,Unsubstantiated,Labor,Immigration,,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 00:12:38,"Bob Carr says 100 per cent of recent boat arrivals are economic migrants, not refugees.",Neither Senator Carr's office nor the Immigration Department has been able to produce evidence to support the claim.
4842978.0,https://www.abc.net.au/news/4842978, Tony Burke not telling the full story on unaccompanied asylum seeker children,The Federal Government's refugee deal with Papua New Guinea sparked questions about who will be responsible for unaccompanied minors sent offshore.,Tony Burke,Incomplete,Labor,Immigration,Refuge,Wed Aug 14 17:27:44 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 17:27:44,"Tony Burke says he will ensure unaccompanied asylum seekers under the age of 18 have appropriate accommodation, services, and schooling in PNG","Legally, Mr Burke is not responsible for the safety of children in Papua New Guinea."
4856454.0,https://www.abc.net.au/news/4856454,Tony Abbott's comments on same-sex marriage laws mostly true,Some state governments have raised the prospect of introducing their own same-sex marriage laws. But Opposition Leader Tony Abbott claims marriage is a responsibility of the Commonwealth parliament.,Tony Abbott,Lawyers' Picnic,Liberal,Social Issues,Same Sex Marriage,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-14 00:12:38,Tony Abbott says marriage is a responsibility of the Commonwealth parliament. ,"The states can make laws allowing same-sex marriage, but it's unclear whether those laws would stand if challenged in the High Court."
4856762.0,https://www.abc.net.au/news/4856762,Julian Assange goes too far on Barack Obama's prosecutions against whistleblowers,Julian Assange claims Barack Obama has prosecuted more whistleblowers for espionage than all previous US presidents combined since 1917.,Julian Assange,Overreach,Independent,,War on Whistleblowers,Fri Aug 16 12:31:03 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-16 12:31:03, Julian Assange says Barack Obama has prosecuted more whistleblowers for espionage than all previous US presidents combined since 1917. He says the number was double. ,Seven whistleblowers have been prosecuted for espionage during Mr Obama's presidency. The number for all previous presidents since 1917 is six. 
4865274.0,https://www.abc.net.au/news/4865274,Labor MP Michelle Rowland incorrect on the Coalition's policy costings,"Federal Labor member for Greenway in New South Wales, Michelle Rowland, claims the Coalition has not submitted any policies for costing to the Parliamentary Budget Office.",Michelle Rowland,Incorrect,Labor,Budget(s),,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-14 00:13:48,Michelle Rowland says the Coalition has not submitted any policies for costing to the Parliamentary Budget Office. ,The Coalition has submitted more than 200 policies to the PBO.
4866236.0,https://www.abc.net.au/news/4866236,"Kevin Rudd's ad on Australia's debt, credit rating checks out","Prime Minister Kevin Rudd claims Australia's debt per capita is one of the lowest in the developed world, and Australia is one of only eight countries given a AAA credit rating with a stable outlook.",Kevin Rudd,Accurate,Labor,Economy,,Wed Aug 14 00:12:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-14 00:12:38,"The claims: Kevin Rudd says Australia's debt per capita is one of the lowest in the developed world, and Australia is one of only eight countries given a credit rating of AAA with a stable outlook.",These claims are accurate.
4871852.0,https://www.abc.net.au/news/4871852,Kevin Rudd's $70 billion black hole claim not credible,Prime Minister Kevin Rudd claims the Opposition would need to make $70 billion in cuts to match the Government's path to budget surplus.,Kevin Rudd,Not credible,Labor,Budget(s),,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-14 00:13:48,Kevin Rudd says the Opposition would have to make $70 billion in cuts to match the Government's path to budget surplus.,"The figure, based on Labor's estimate of the Coalition's budget costings, is not credible. It includes outdated spending plans and outdated revenue reductions. "
4874588.0,https://www.abc.net.au/news/4874588,Kevin Rudd can defend his jobs claim but Tony Abbott is more on the money,"Prime Minister Kevin Rudd says 1 million jobs have been created over the past five and a half years. But Opposition Leader Tony Abbott Opposition claims unemployment is marching towards 800,000. Can they both be right?","Kevin Rudd, Tony Abbott",Correct,Multiple_Parties,Employment,Employment,Wed Aug 14 00:13:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-14 00:13:48,"The claims: Kevin Rudd says 1 million jobs have been created over the past five and a half years. Tony Abbott says unemployment is marching towards 800,000. ","Both claims are correct, but Mr Abbott's better reflects the deteriorating job market."
4889778.0,https://www.abc.net.au/news/4889778,Tony Abbott correct on Pacific Solution outcome,"Opposition Leader Tony Abbott claims that during the Howard government's Pacific Solution, 40 per cent of the people sent to Manus Island and Nauru were permanently settled in Australia.",Tony Abbott,Checks Out,Liberal,Immigration,Refuge,Thu Aug 15 17:35:28 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-15 17:35:28,Tony Abbott claims 40 per cent of the people sent to Manus Island and Nauru were permanently settled in Australia.,His claim checks out. 
4892178.0,https://www.abc.net.au/news/4892178,Kevin Rudd's claim that Labor has been a lower taxing government checks out,"Prime Minister Kevin Rudd claims that ""under this government, the tax to GDP ratio has, in the period we've been in office, [been] an average of 22.7 per cent"".
",Kevin Rudd,Checks Out,Labor,Economy,Tax,Wed Aug 21 15:34:58 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-21 15:34:58,,
4896412.0,https://www.abc.net.au/news/4896412,Labor's National Broadband Network ad oversimplifies its benefits,"The Australian Labor Party has launched a political advertisement about its National Broadband Network (NBN) which makes claims on cost, speed and rollout.   ",Labor,Not full story; not yet; true,Labor,Infrastructure,NBN,Tue Aug 20 12:28:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-20 12:28:51,,
4897264.0,https://www.abc.net.au/news/4897264,"Joe Hockey exaggerates difference between Labor, Coalition record on debt",Opposition Treasury spokesman Joe Hockey claims the Labor Government has taken on large amounts of debt while the previous Coalition government left the nation with more assets than debt.,Joe Hockey,Exaggeration,Liberal,Economy,,Mon Aug 19 19:18:12 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-19 19:18:12,"Joe Hockey says the Coalition left the country with net assets of $70 billion, whereas if it wins the election he says it will inherit debt going to $400 billion.",Mr Hockey is making an exaggerated claim by conflating net and gross figures and ignoring the Coalition's contribution to gross debt.
4899740.0,https://www.abc.net.au/news/4899740,Tony Abbott wrong on child immunisation rates,Opposition Leader Tony Abbott claims child immunisation rates have fallen under the Labor government.,Tony Abbott,Wrong,Liberal,Health,,Wed Aug 21 07:14:42 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-21 07:14:42,,
4904576.0,https://www.abc.net.au/news/4904576,Bob Katter wrong on number of gun deaths after Port Arthur,Katter's Australian Party leader Bob Katter claims gun-related deaths rose after the introduction of John Howard's National Firearms Agreement in 1996.,Bob Katter,Wrong,Independent,Health,Gun Laws,Fri Aug 23 08:46:32 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-23 08:46:32,Bob Katter claims there were more gun deaths after the 1996 gun laws were introduced than there were in the three years before.,There were more deaths before the gun laws were introduced than there were in the three years after. Mr Katter is wrong. 
4905958.0,https://www.abc.net.au/news/4905958,Kevin Rudd goes too far on paid parental leave for millionaires,Prime Minister Kevin Rudd claims the Coalition's signature promise would unfairly pay thousands of dollars in parental leave to men who earn a million dollars a year.,Kevin Rudd,Overreach,Labor,Economy,Parental Leave,Thu Aug 22 17:54:56 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-22 17:54:56,,
4906242.0,https://www.abc.net.au/news/4906242,Kevin Rudd wrong on Tony Abbott's '$1b hospital funding cut',Prime Minister Kevin Rudd has accused Opposition Leader Tony Abbott of cutting $1 billion in public hospital funding when he was health minister.,Kevin Rudd,Wrong,Labor,Health,,Fri Aug 23 15:33:29 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-23 15:33:29,Kevin Rudd says when Tony Abbott was health minister he cut $1 billion from the public hospitals budget of Australia.,Mr Abbott was not responsible for the $1 billion reduction in public hospital funding between 2003 and 2008. 
4908332.0,https://www.abc.net.au/news/4908332,"Kevin Rudd's parental leave, child care comparison incorrect ","Prime Minister Kevin Rudd says the Coalition's paid parental leave scheme costs $22 billion, which he claims is more than the Government spends on childcare support.",Kevin Rudd,Incorrect,Labor,Health,Parental leave V childcare,Wed Sep 04 09:16:43 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-04 09:16:43,"Kevin Rudd says the Coalition's paid parental leave scheme costs $22 billion, which he says is more than the Government spends on childcare support. ","Incorrect. Childcare costs will outstrip the costs of the paid parental leave scheme by the time it begins on July 1, 2015."
4912238.0,https://www.abc.net.au/news/4912238,Clive Palmer wrong on infant mortality rates,"Federal MP and businessman Clive Palmer claims infant mortality rates are higher among Indigenous Australians than in Africa, Asia or South America.",Clive Palmer,Wrong,Independent,Health,Palmer United Party,Mon Aug 26 14:36:48 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-08-26 14:36:48,,
4912726.0,https://www.abc.net.au/news/4912726,Tony Abbott's claim households will be $550 a year better off without the carbon tax is outdated,Opposition Leader Tony Abbott says households will be $550 a year better off if the Coalition scraps the carbon tax.,Tony Abbott,Outdated,Liberal,Environment,Carbon Tax,Wed Aug 28 17:38:19 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-28 17:38:19,Tony Abbott says households will be $550 a year better off if the Coalition scraps the carbon tax.,"Mr Abbott's figure is outdated. It refers to a fixed price on carbon, which would cost an average household $568 in 2014-15, not Labor's proposed emissions trading scheme, which would cost $134."
4914434.0,https://www.abc.net.au/news/4914434,"Kevin Rudd's high speed rail, parental leave cost comparison is unsound ",Prime Minister Kevin Rudd claims building a high speed rail project from Brisbane to Melbourne by 2035 would cost less than the Coalition's paid parental leave scheme for the same period of time.,Kevin Rudd,Unsound,Labor,Infrastructure,High Speed Rail vs Paid Parental Leave,Thu Aug 29 12:02:25 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-08-29 12:02:25,Kevin Rudd says building a high speed rail project from Brisbane to Melbourne by 2035 would cost less than the Coalition's paid parental leave scheme for the same period of time. ,"Mr Rudd's claim is unsound. Given the uncertainties surrounding the cost of both schemes, it is premature to compare them at this time. "
4915222.0,https://www.abc.net.au/news/4915222,Chris Bowen correct on investor impact of parental leave scheme,Treasurer Chris Bowen claims the Coalition's proposed paid parental leave scheme will cost Australian investors $1.6 billion.,Chris Bowen,Correct,Labor,Economy,Parental Leave & Investor,Tue Aug 27 18:21:01 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-08-27 18:21:01,Chris Bowen says the Coalition's proposed paid parental leave scheme will cost Australian investors $1.6 billion.,Mr Bowen is correct. But the $1.6 billion in forgone franking credits will only hit investors in 2016-17.
4917678.0,https://www.abc.net.au/news/4917678,National Tertiary Education Union correct on university class sizes,"An advertisement by the National Tertiary Education Union claims there are almost twice as many university students per teacher now than there were a generation ago. 

",National Tertiary Education Union,Correct,Union,Education,,2013-07-03 00:00:00,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-07-03 00:00:00,The amount of university students in a one-teacher classroom has almost doubled since 1990.,The claim is correct. There are almost twice as many students per teacher now than there were in the 1990s.
4917836.0,https://www.abc.net.au/news/4917836,Clive Palmer wrong on asylum seekers being paid more than pensioners,Federal MP and businessman Clive Palmer claims Australia's senior citizens are paid less than newly arrived asylum seekers.,Clive Palmer,Wrong,Independent,Immigration,Palmer United Party,"Age, The (Melbourne, Australia)",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,,Clive Palmer says senior citizens in Australia are paid less than newly arrived asylum seekers.,"Mr Palmer is wrong, and his explanation for the claim does not stack up."
4923258.0,https://www.abc.net.au/news/4923258,Greg Hunt not giving the full story on climate research,"Opposition Climate spokesman Greg Hunt claims CSIRO research shows carbon emissions can be reduced by 20 per cent over 40 years using nature, soils and trees. ",Greg Hunt,Not the full story,Liberal,Environment,,Page 18,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,"Greg Hunt says CSIRO research shows carbon emissions can be reduced by 20 per cent over 40 years using nature, soils and trees. ","Mr Hunt quotes the figure for potential abatement accurately, but he leaves out the uncertainties and practical challenges in a large body of research and articles published by its scientists."
4924562.0,https://www.abc.net.au/news/4924562,Penny Wong selective in jobs attack on Coalition,"Finance Minister Penny Wong claims there is a $2.4 billion hole in the Coalition's costing of its plan to shed 12,000 public service jobs.  ",Penny Wong,Cherrypicking,Labor,Budget(s),,"Lexile: 1350, grade level(s): >12",RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,,"Penny Wong says there is a $2.4 billion hole in the Coalition's costing of its plan to shed 12,000 public service jobs. ",The Government has cherrypicked assumptions that would produce the best result in its favour.
4925242.0,https://www.abc.net.au/news/4925242,Labor Party ad overreaches on Coalition school funding cuts,An education advertisement released by the Federal Government claims every school in Australia will be affected by cuts planned by Opposition Leader Tony Abbott.,Labor,Overreach,Labor,Education,,Mon Sep 02 10:25:22 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-02 10:25:22,The Federal Government says every school in Australia will be affected by cuts planned by Opposition Leader Tony Abbott.,"For the Government to suggest there will be ""bigger classes, less teachers, less support staff and less programs"" is an overreach."
4928548.0,https://www.abc.net.au/news/4928548,"Peter Dutton oversimplifies increase in elective surgery, GP waiting times","Opposition health spokesman Peter Dutton claims that under the Labor Government, Australians are waiting longer to see their GP and waiting longer for elective surgery. ",Peter Dutton,Oversimplified,Liberal,Health,,Tue Sep 03 17:42:38 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-03 17:42:38,Peter Dutton says people are waiting longer to see their GP and waiting longer for elective surgery around Australia.,"Mr Dutton's statement is oversimplified. Nationally, elective surgery median waiting times were higher in 2011-12 than 2007-8. But waiting times have fallen in some states. Similarly, while some people are waiting longer to see a GP, others experienced a decrease in waiting time."
4929108.0,https://www.abc.net.au/news/4929108,"Oversimplified: '80,000 charity workers' would be affected by FBT changes",Two industry associations claim tens of thousands of charity workers would be affected by Labor's proposed changes to the way Fringe Benefits Tax can be calculated for salary sacrificed cars.,ASPIA,Oversimplified,Other,Employment,,Wed Sep 04 12:47:05 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-04 12:47:05,"Two industry associations say 80,000 charity workers would be affected by Labor's proposed changes to the way Fringe Benefits Tax can be calculated for salary sacrificed cars.","The claim is oversimplified. All charity workers driving a car and claiming any tax concession will be required to complete a log book. Charity workers will be affected, but it is impossible to say whether the financial impact will be adverse. "
4931974.0,https://www.abc.net.au/news/4931974,Fact Check: Greens Senator Scott Ludlam exaggerates rent increases,"Greens Senator Scott Ludlam claims rental prices have doubled across the country and tripled in the ACT, Queensland and WA since 2000.",Scott Ludlam,Exaggeration,Greens,Economy,Housing,Thu Sep 05 10:19:34 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-05 10:19:34,"Greens Senator Scott Ludlam says rental prices have doubled across the country and tripled in the ACT, Queensland and WA since 2000.","In dollar figures, national rental rates have doubled since 2000 but they have not tripled. According to the real value of the dollar which takes inflation into account, rents have not doubled or tripled anywhere in Australia.  "
4932488.0,https://www.abc.net.au/news/4932488,Kevin Rudd takes car subsidy figures out of context,"Prime Minister Kevin Rudd says Australia's assistance to the car manufacturing industry is one of the lowest in the world. He claims car industry assistance is $18 per head per year in Australia, $90 in the United States and $96 in Germany.",Kevin Rudd,Out of context,Labor,Transport,Automotive,Fri Sep 06 17:56:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-06 17:56:51,"Kevin Rudd says car industry assistance is $18 per head per year in Australia, $90 in the United States and $96 in Germany. ","The subsidy of $18 per head per year for Australia is correct but the figures for the US and Germany are not ""per year"" figures."
4934162.0,https://www.abc.net.au/news/4934162,Kevin Rudd correct on Paul's references to slavery in the Bible,"Prime Minister Kevin Rudd claims St Paul said in the New Testament, 'slaves be obedient to your masters'.",Kevin Rudd,Correct,Labor,Social Issues,"Religion, same-sex marriage",Fri Sep 06 14:35:23 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-06 14:35:23,"Kevin Rudd says St Paul said in the New Testament, 'slaves be obedient to your masters'.",Mr Rudd is correct. There are two statements from Paul in the New Testament which call on slaves to be obedient to their masters. But the Bible does not present a single view on slavery. 
4935372.0,https://www.abc.net.au/news/4935372,Scott Morrison correct on 'illegal entry' of people without a visa,"Opposition immigration spokesman Scott Morrison claims people illegally enter Australia when they arrive without a valid visa, and that the term 'illegal entry' is used in international conventions.",Scott Morrison,Correct,Liberal,Immigration,Asylum Seekers,Fri Sep 06 09:09:32 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-06 09:09:32,Scott Morrison says people illegally enter Australia when they come without a valid visa and says the term 'illegal entry' is used in international conventions. ,"Mr Morrison is correct. Based on the definition set out in the United Nations people smuggling protocol, people who have come to Australia without a valid visa have illegally entered the country. That is the case even though these people have not committed any crime, nor broken any Australian or international law."
4935500.0,https://www.abc.net.au/news/4935500,Christopher Pyne exaggerates trade training centre rollout figures,"Opposition education spokesman Christopher Pyne claims the Government has built only 230 trade training centres of the 2,650 promised by Kevin Rudd in 2007.",Christopher Pyne,Exaggeration,Liberal,Budget(s),,Thu Sep 05 15:53:29 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-05 15:53:29,"Christopher Pyne says the Government has built only 230 trade training centres of the 2,650 promised by Kevin Rudd in 2007.",The Government has built 302 trade training centres servicing 825 schools. Mr Pyne exaggerated the numbers to make his point about the slow pace of the roll-out.
4938932.0,https://www.abc.net.au/news/4938932,Christine Milne in the ballpark on cost of Coalition's Nauru tent city,Greens leader Christine Milne claims the Coalition's 'tent city' on Nauru will cost $1.9 billion over four years.,Christine Milne,In the ballpark,Greens,Immigration,Nauru,Fri Sep 06 18:51:20 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-06 18:51:20,Christine Milne says the Coalition's 'tent city' on Nauru will cost $1.9 billion over four years. ,"The publicly available economic information is insufficient to assess the cost of the Coalition's Nauru policy precisely. Senator Milne is in the ballpark to say 2,000 additional places will cost ""something like $1.9 billion over the forward estimates""."
4948390.0,https://www.abc.net.au/news/4948390,Threat to the survival of local pharmacies exaggerated,The Pharmacy Guild of Australia claims that bringing forward reductions in the prices of prescription medicines will threaten the survival of local pharmacies. ,Pharmacy Guild of Australia,Exaggeration,Other,Health,,Tue Sep 17 14:36:51 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,In_Between,2013-09-17 14:36:51,The Pharmacy Guild of Australia says bringing forward reductions in the prices of prescription medicines will threaten the survival of local pharmacies. ,The guild's claim is exaggerated. Pharmacies have been adjusting to a price-cutting regime since 2007 and there is little evidence to suggest the impact will be severe across the industry.
4948644.0,https://www.abc.net.au/news/4948644,"Rupert Murdoch's public sector pay, sick leave tweet checks out",News Corporation's executive chairman Rupert Murdoch claims public workers in Australia earn more and take many more sick days than their private sector counterparts.,Mr Murdoch,Checks Out,Other,Employment,,Tue Sep 10 18:38:19 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Positive,2013-09-10 18:38:19,Rupert Murdoch says public workers in Australia earn more and take many more sick days than their private sector counterparts.,Mr Murdoch's claim that public sector employees earn more and take more sick leave than their private sector counterparts checks out. 
4949042.0,https://www.abc.net.au/news/4949042,"Tim Costello's claim foreign aid cuts will cost 450,000 lives is not credible","The Coalition's proposed $4.5 billion cuts to foreign aid will result in the loss of 450,000 lives, World Vision Australia chief executive officer Tim Costello claims.",Tim Costello,Figure not credible,Other,Budget(s),Foreign Aid Cuts,Thu Sep 12 17:44:25 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-12 17:44:25,"Tim Costello says the Coalition's proposed $4.5 billion cuts to foreign aid will result in the loss of 450,000 lives.",Mr Costello's claim is not credible. 
4951312.0,https://www.abc.net.au/news/4951312,Clive Palmer's economic stimulus claim improbable,Federal MP and businessman Clive Palmer claims the economy would be better off if Australian companies were not forced to pay tax in instalments.,Clive Palmer,Improbable,Independent,Economy,Palmer United Party,Mon Sep 16 17:42:18 EST 2013,RMIT ABC Fact Check,Australian Broadcasting Corporation,All rights reserved,2000 ABC,Negative,2013-09-16 17:42:18,Clive Palmer says the economy would be better off if Australian companies were not forced to pay tax in instalments.,Mr Palmer's claim is improbable. Economic theory and historical data show the tax change would do little to stimulate the economy.
