id,fulltext
1548940437154676736,"@SteveBakerHW @AlokSharma_RDG @Conservatives @CSkidmoreUK Steve, there is no climate emergency.  You should know this.  The earth is cooling, the arctic ice is growing. https://t.co/hxlbxT1W2Q"
1554375564403871744,"@NASAClimate Why never no information about the South Pole that the ice there is now 2450 meters thick and the size is still increasing, the summer temperature minus 40 degrees C. and winter minus 60 degrees C.!!!Climate change always about the North Pole, that is typical disinformation! https://t.co/ZYomrzXGcH"
1554375564403871744,"@NASAClimate Why never no information about the South Pole that the ice there is now 2450 meters thick and the size is still increasing, the summer temperature minus 40 degrees C. and winter minus 60 degrees C.!!!Climate change always about the North Pole, that is typical disinformation! https://t.co/ZYomrzXGcH"
1555480004804415490,"@SenateDems Climate change is the big lie. Texas just had its colest winter in 2021.  They been claiming ice caps will be gone for 40 years now.  You thought $6-$10  a gallon of gas is bad? Wait until your electric car needs a battery, and you need to shell out over $10k"
1534931559412908032,"@afewcrayons @DConflicted @Skeeberman @jzux Not to forget to mention, we are supposed to be in a period of cooling. Not Ice Age amounts, but more moderate cooling. Human fueled climate change is causing this to reverse. We haven't been at levels this high for hundreds of thousands of years. https://t.co/YC6weTf7ap"
1537671345265426434,@PeterDClack What if “man made global warming” is the only thing that saves us from the next devastating ice age….oh the irony
1537728627189612544,"It's not ""Global warming"", it is ""The End Times"",  Read your bible folks, it will open your eyes and explain everything in great detail."
1542251795547918337,@jasonsxt It’s called a grand solar minimum. But the met office will call it climate change. It happens often in history but the government will call it a green tax.😒
1544306970286514178,@trumpwon23 Global warming is cyclical. Ain't our fault. We just have to find a way to live with it....but if it gets worse we will all be dead in decades to come. It's a planet. Evolving. Not guaranteed to be our home forever. Lucky it's not an ice age with heating costs up...!
1545016689426833409,"The global warming cycle peaked in 2016, as the global cooling process commenced. Over the coming decade, the IPCC models and its ""theory"" that human activity is warming the earth will be shattered. In time climate science will then be restored once again. https://t.co/oDpPJxKK9F"
1546825607312547842,"@spoons_666 @LeilaniDowding Ya climate change doesn't necessarily mean hotter.  With desalinization of the Atlantic, from all the ice melt,  it can actually cause an ice age in your neck of the woods!  WOOHOO!"
1547834152988188673,@DanShaw14 @Anatolew @deshadow25 @scrowder That’s not climate change that’s the sun dying out
1531902946874515457,"@ekta2993 Also, a wonderful scene in movie “They day after tomorrow” where a climate conference is happening in delhi and climate change is such that its snowing!!"
1533334703612186625,@BushwalkingLite This climate change is freezing our bums off - two and half years ago we were going to burn to death. I wish it would settle on one method of killing us and stick to that...
1535470466797813760,"@KeithMalinak Here in Kentucky it's raining and unusually cold, this must be global warming,  my solar panel wind turbine system and electric car is sitting uncharged,  but our real life world car costs us $70 love summer, can't wait till November."
1535699498420146177,"@AlexEpstein @reasontv @nickgillespie “The climate has always changed–it’s NEVER the same. Civilization expands during warming periods and it collapses during cold periods. France has had the coldest April since 1947 Yet Macron vows to “get France out of oil, gas, and coal” while Paris freezes https://t.co/IFBoi32BYU"
1537078622334464006,@RexChapman Looks a lot like heavy rains &amp; melting snow with increases in precipitation…nothing out of the ordinary for May &amp; June in Yellowstone…😎…climate change ? C’mon !!!
1539421670561107970,"Climate Realism:  Searching For Global Warming, Pittsburgh Freezes Under Record Cold https://t.co/MPixK9NGmZ"
1539765959787159552,Global Warming? Tell that to the southern districts that woke up to negative 10 degrees this morning.
1550443192528642048,"#OTD 1926 – Temperatures hit 108 F in Troy, NY and 105 F in Waterbury, Connecticut setting state records. People begin torching SUV’s in protest.1983 – Temperature drops to -128.6 F at Vostok, Antarctica as global warming takes hold. This is the world record low temperature."
1550524493008777216,Absolutely pissing it down💧💧💧. So much for climate change😦😦😲
1550835126904537094,"@JayHabzzz @AlBowers1 @ReelikaKennedy @LevellingDown @sophielouisecc Bloody freezing 🥶 up north today, so much for global warming, it’s all smoke and mirrors"
1550835301530193921,@RBReich Remind me when it’s -5 here.  Oh yea like it is every year.  First global warming that didn’t working then a marketing shift to climate
1535871851586539520,4 C in Brisbane! Global warming stopped!
1537502202998272002,"@GaryLineker ""What the alarmists call ‘global heating’ now stretches to 92 months. The graph compiled by the NASA scientist Dr. Roy Spencer has been banned by Google AdSense and clearly shows that global warming started to run out of steam about 20 years ago.” https://t.co/fBfd1KBlKt"
1542740763750109184,"@JoeBiden If climate change is real, and it’s an effect of humans lifestyles, why hasn’t the rate of co2 increase slowed or declined since 2015 when coal plants began shutting down, and electric cars began replacing gas cars?"
1542848065995948033,@3dcadMelan @robokendall @JuliaHB1 @lc87norwich That is a Daily Mail article from 2012 by well known climate change denier/complete idiot David Rose. It was based on cherry picking a start point to show that temperatures had remained flat for 16 years. Statistical nonsense of course and he had it explained to him at the ...
1546574572098666496,@1True_American_ What happened to Global Warming? 😗🤣🇺🇸 https://t.co/T9WyzCWKpu
1548084881397530625,"@KendraWrites Actually people don't. Someone yesterday told me that it's just Nature, climate crisis is made propaganda and he was sharing articles with me of temperatures not increasing and that stupid stone which isn't under water since so many years. How can you explain to these people."
1549671095455850496,@normAL219 @BBCNews The temperatures have crashed. A clear sign of global warming.
1549738559241965569,"Temps are expected to drop in England and across the US. If climate change was real, wouldn’t the temps remain high and never drop?"
1533872524727050243,@MissyKe58455739 Didn't learn reading comprehension in high school eh?  Did we REVERSE global warming by 2000?  Nope.  Does that mean that islands will go underwater now from accelerating sea level rise at some unspecified future date?  Yes!  It does!  3 feet by 2100 is inevitable now.
1541312616156512256,@Sir_Keef @jedigardener @Rob_Kimbell No. They know what we all do. Sea levels are not and will not rise. Show me and others the actual data that shows that they have in the last hundred years. Climate change? Climate bollocks.
1545818545786744834,"@SpencerKlavan Transposing the Mediterranean Sea onto the USA shows geographic ignorance. We will lose the East, Gulf and West coasts long before the Appalachian, Midwest and Mountain states. Most climate change science is talking about inches in sea level not 100s of feet"
